Protein	Gene	Role_in_nuclear_mechanics	General_function	Signaling_pathways	Epigenetics_tag	References_IDs	Gene_symbol	Ensembl_ID
Lamin A/C	LMNA	Determinante major de nuclear stiffness; protege integridad de envoltura nuclear; modula mechanoresponse y NE rupture bajo fuerzas del citoesqueleto	Intermediate filament de lamina nuclear; organización nuclear/genómica	LINC–cytoskeleton coupling; mechanotransduction axis	NO	fbioe-08-596746; s44258-025-00063-5	LMNA	ENSG00000160789
Lamin B1	LMNB1	Contribuye a stiffness/rigidez de la lamina y arquitectura nuclear (componente load-bearing)	Structural lamina component; nuclear integrity	Lamina mechanics; mechanosensing support	NO	fbioe-08-596746; s44258-025-00063-5	LMNB1	ENSG00000113368
Lamin B2	LMNB2	Soporte estructural de la lamina; contribuye a rigidez global del núcleo	Structural lamina component	Lamina mechanics	NO	fbioe-08-596746; s44258-025-00063-5	LMNB2	ENSG00000176619
Emerin	EMD	INM protein asociado a nuclear stiffening y respuesta a strain; implicado en mecanogenes bajo deformación	LEM-domain INM protein; envelope organization	LINC/NE mechanotransduction	NO	fbioe-08-596746	EMD	ENSG00000102119
SUN1	SUN1	Core de LINC; acopla fuerzas del citoesqueleto a la envoltura nuclear; interactúa con NPC para cambios por fuerza	INM LINC component	LINC; focal adhesion maturation (bidirectional signaling)	NO	fbioe-08-596746; s44258-025-00063-5; PMID:21652697	SUN1	ENSG00000164828
SUN2	SUN2	Core de LINC; contribuye a transmisión de fuerza nucleo-citoesqueleto	INM LINC component	LINC axis	NO	s44258-025-00063-5	SUN2	ENSG00000100242
Nesprin-1	SYNE1	KASH protein; transmite fuerzas actina→núcleo; afecta forma nuclear y fenotipo mecano-dependiente	ONM LINC component	LINC; actin cap coupling	NO	fbioe-08-596746; PMID:32939447; PMID:21652697	SYNE1	ENSG00000131018
Nesprin-2	SYNE2	KASH protein; acopla actina/perinuclear actin a núcleo; regula nuclear positioning y TAN lines	ONM LINC component	LINC; actin organization	NO	fbioe-08-596746; PMID:21652697	SYNE2	ENSG00000054654
Nesprin-3	SYNE3	Conecta IF (vimentina) vía plectina a núcleo; relevante para nuclear deformation y perinuclear IF network	ONM LINC component	LINC; IF–nucleus coupling	NO	fbioe-08-596746; PMID:21652697	SYNE3	ENSG00000176438
Nesprin-4	SYNE4	Acoplamiento a microtúbulos (en ciertos tipos celulares); contribuye a posicionamiento nuclear	ONM LINC component	LINC–microtubule coupling	NO	s44258-025-00063-5	SYNE4	ENSG00000181392
LAP2 (Lamina-associated polypeptide 2)	TMPO	Proteína INM que modula composición de membrana nuclear y stiffness (vía arquitectura NE/lamina)	INM/lamina-associated protein	Nuclear envelope mechanics	NO	s44258-025-00063-5	TMPO	ENSG00000120802
MAN1	LEMD3	INM protein que modula señalización nuclear; vínculo con mecano-regulación del núcleo	LEM-domain INM protein	TGF-β/SMAD regulation (context-dependent)	NO	s44258-025-00063-5	LEMD3	ENSG00000174106
