Ensembl_ID	Gene_symbol	baseMean	padj_lrt	sig_lrt	n_baseline_sig	baseline_dirs	first_stage_diff	baseline_hits	n_strata_sig	strata_dirs	strata_hits	class
ENSG00000169429	CXCL8	46.45250898645369	1.6237767927443184e-117	TRUE	3	up	2	F2_vs_F0,F3_vs_F0,F4_vs_F0	4	up	F3_vs_F1,F3_vs_F2,F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000137673	MMP7	56.57308324848091	1.8612671298481533e-92	TRUE	3	up	2	F2_vs_F0,F3_vs_F0,F4_vs_F0	6	up	F2_vs_F1,F3_vs_F1,F3_vs_F2,F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000108244	KRT23	21.927434923759215	3.694433990951274e-89	TRUE	3	up	2	F2_vs_F0,F3_vs_F0,F4_vs_F0	6	up	F2_vs_F1,F3_vs_F1,F3_vs_F2,F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000124875	CXCL6	41.76357265941357	2.4872883851498625e-84	TRUE	3	up	2	F2_vs_F0,F3_vs_F0,F4_vs_F0	5	up	F3_vs_F1,F3_vs_F2,F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000108691	CCL2	98.490180415436	5.338949653908169e-83	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	4	up	F3_vs_F1,F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000159167	STC1	19.516554848372262	5.338949653908169e-83	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	5	up	F3_vs_F1,F3_vs_F2,F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000104435	STMN2	37.02294479239021	2.4659798462867577e-82	TRUE	3	up	2	F2_vs_F0,F3_vs_F0,F4_vs_F0	6	up	F2_vs_F1,F3_vs_F1,F3_vs_F2,F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000137331	IER3	58.99114650437806	6.403070838847724e-82	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	2	up	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000128342	LIF	21.832418435707005	1.511260915755976e-78	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	5	up	F3_vs_F1,F3_vs_F2,F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000163739	CXCL1	18.889488837445022	2.713892043545031e-72	TRUE	3	up	2	F2_vs_F0,F3_vs_F0,F4_vs_F0	5	up	F3_vs_F1,F3_vs_F2,F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000164949	GEM	103.93148666168597	2.599957865836049e-68	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	5	up	F3_vs_F1,F3_vs_F2,F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000138131	LOXL4	122.83015192736634	3.6294234237591797e-68	TRUE	3	up	2	F2_vs_F0,F3_vs_F0,F4_vs_F0	5	up	F3_vs_F1,F3_vs_F2,F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000079931	MOXD1	59.513406400659825	1.3449937803644174e-67	TRUE	3	up	2	F2_vs_F0,F3_vs_F0,F4_vs_F0	6	up	F2_vs_F1,F3_vs_F1,F3_vs_F2,F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000137801	THBS1	1312.5585708281228	3.250901844609709e-66	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	5	up	F3_vs_F1,F3_vs_F2,F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000168398	BDKRB2	18.654995255841126	4.75216343106728e-65	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	5	up	F3_vs_F1,F3_vs_F2,F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000136997	MYC	86.84955217499753	1.2829997838790269e-64	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	4	up	F3_vs_F1,F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000186340	THBS2	371.9486575665841	2.8126439659325596e-63	TRUE	3	up	2	F2_vs_F0,F3_vs_F0,F4_vs_F0	5	up	F3_vs_F1,F3_vs_F2,F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
