Gene_symbol	Ensembl_ID	dominant_dir	GSE130970_model	GSE135251_model	GSE162694_model	GSE130970_coef_a	GSE135251_coef_a	GSE162694_coef_a	GSE130970_coef_b	GSE135251_coef_b	GSE162694_coef_b	GSE130970_coef_c	GSE135251_coef_c	GSE162694_coef_c	GSE130970_r2	GSE135251_r2	GSE162694_r2	GSE130970_delta_F4_F1	GSE135251_delta_F4_F1	GSE162694_delta_F4_F1
ACTA2	ENSG00000107796	up	power_law	power_law	linear	0.000136439077450501	0.000355956167797913	-0.0530558830697429	4.83665672832572	4.08025225265203	0.0253185488503624	NA	NA	NA	0.970517279843447	0.957906828103051	0.549252446463581	0.111266405961846	0.101492197028537	0.0759556465510873
ACTB	ENSG00000075624	up	power_law	power_law	power_law	0.00426424383045366	0.00225857633112526	4.29681171884249e-12	1.66306029607201	0.912237878294488	16.5754979992632	NA	NA	NA	0.843484318143023	0.538322527818153	0.660672774940926	0.0385022943834904	0.00574081055482778	0.0409817505479966
CCN2	ENSG00000118523	up	power_law	power_law	power_law	0.010598061436446	0.00841890541682035	0.00132162357026131	2.40754877928677	2.00445075278144	4.22340926855431	NA	NA	NA	0.968431970158144	0.962785388899713	0.996683048516505	0.287744510909621	0.127117272113183	0.459840385984898
CFL1	ENSG00000172757	up	sigmoid	sigmoid	power_law	0.0652678407440736	0.00910151103044468	2.02674428674782e-07	1.16999020786748	3.28370496240147	9.30508498872295	3.38276354768956	1.58864619979672	NA	0.998776572950781	0.955774536121827	0.931718009493284	0.040145997842779	0.00794753583517768	0.0810993287691709
COL1A1	ENSG00000108821	up	power_law	power_law	linear	0.0184705200638019	0.0504428869101151	-0.0812929555873121	1.68570432892697	0.982486953245459	0.0587341409331026	NA	NA	NA	0.794566789444609	0.966288719479535	0.840296111348322	0.172679460170598	0.146488990139328	0.176202422799308
COL1A2	ENSG00000164692	up	power_law	power_law	sigmoid	0.00509831416583989	0.0279126311049627	0.0971230400356782	2.62264218101744	1.25493473855399	4.11439608313508	NA	NA	2.19060348663289	0.939299376767482	0.999435783661987	0.995764205832962	0.188283006835103	0.131068936070266	0.0963474175314166
CREBBP	ENSG00000005339	down	power_law	linear	power_law	-0.00394842975768757	0.00436202233857698	-1.74547472864191e-08	1.46944891574529	-0.00285568429314391	9.16317933687778	NA	NA	NA	0.958053691010466	0.14613850235339	0.181119099315063	-0.0263291263652282	-0.00856705287943172	-0.00573714618694583
DNMT3A	ENSG00000119772	up	power_law	power_law	linear	-0.0116562437230888	0.00635172831152342	-0.00880087883797722	-0.113573284392257	1.79669093648288	0.00145137224526029	NA	NA	NA	0.00885443046021783	0.946824510765136	0.007300661339327	0.00169804728570653	0.0703151257732562	0.00435411673578088
EHMT1	ENSG00000181090	down	linear	linear	power_law	0.0179855254971942	-0.000571565745519871	-0.000150260349617324	-0.0104025554433745	-0.00538139855565037	4.13718815675844	NA	NA	NA	0.907054828871374	0.528038314880978	0.839270825485166	-0.0312076663301236	-0.0161441956669511	-0.046374041072666
FERMT2	ENSG00000073712	down	power_law	linear	power_law	-0.000180690907025702	0.0145740946601487	-0.00887099727878903	3.5984641795399	-0.0124594979157397	0.597516117229205	NA	NA	NA	0.995537917431859	0.887443201673215	0.12626816616526	-0.0263304007178597	-0.0373784937472191	-0.0114391463374989
