Gene_symbol	Ensembl_ID	dataset	model	aic	r2	coef_a	coef_b	coef_c	n_points
ACTA2	ENSG00000107796	GSE130970	power_law	-33.2147425240972	0.970517279843447	0.000136439077450501	4.83665672832572	NA	4
ACTA2	ENSG00000107796	GSE135251	power_law	-31.7124316029832	0.957906828103051	0.000355956167797913	4.08025225265203	NA	4
ACTA2	ENSG00000107796	GSE162694	linear	-23.3077726842891	0.549252446463581	-0.0530558830697429	0.0253185488503624	NA	4
ACTB	ENSG00000075624	GSE130970	power_law	-35.5534759379714	0.843484318143023	0.00426424383045366	1.66306029607201	NA	4
ACTB	ENSG00000075624	GSE135251	power_law	-43.2497595620007	0.538322527818153	0.00225857633112526	0.912237878294488	NA	4
ACTB	ENSG00000075624	GSE162694	power_law	-24.8462315695299	0.660672774940926	4.29681171884249e-12	16.5754979992632	NA	4
ACTR2	ENSG00000138071	GSE130970	power_law	-37.2566132022163	0.907586418636654	0.00628782046043862	1.42141404132776	NA	4
ACTR2	ENSG00000138071	GSE135251	linear	-34.8617478882583	0.649848780076979	0.0240393556947066	-0.00737172918224935	NA	4
ACTR2	ENSG00000138071	GSE162694	power_law	-36.5269340382303	0.807884042608822	0.00720074859900123	1.18100349801627	NA	4
APOE	ENSG00000130203	GSE130970	power_law	-48.9510310985401	0.942579780294162	0.00892149350888922	-443632.964864598	NA	4
APOE	ENSG00000130203	GSE135251	linear	-38.8226198241424	0.00291800075703778	-0.0105289506210918	-0.000178420683580475	NA	4
APOE	ENSG00000130203	GSE162694	linear	-23.4828163373043	0.352098864345681	-0.0617491829310488	0.0165422614011327	NA	4
BANF1	ENSG00000175334	GSE130970	linear	-29.8572330641155	0.609474146180384	-0.0261840241800439	0.0126363874928666	NA	4
BANF1	ENSG00000175334	GSE135251	linear	-45.2029401093475	0.0806469118958665	-0.00818554683373035	-0.000440000734689464	NA	4
BANF1	ENSG00000175334	GSE162694	linear	-23.0599340140399	0.193581330646272	-0.0355284534744961	0.0115911177789387	NA	4
