dataset	Ensembl_ID	Gene_symbol	histology_group	stage	mean_expr	sd_expr	n_samples
GSE130970	ENSG00000107796	ACTA2	F0	0	8.99395667701379	0.348477790279281	18
GSE130970	ENSG00000107796	ACTA2	F1	1	9.12236566391693	0.60575266063706	28
GSE130970	ENSG00000107796	ACTA2	F2	2	8.98915988952426	0.343861670062895	9
GSE130970	ENSG00000107796	ACTA2	F3	3	9.25365996098104	0.614692430973758	14
GSE130970	ENSG00000107796	ACTA2	F4	4	9.99453776718212	1.22782509017847	2
GSE130970	ENSG00000075624	ACTB	F0	0	14.0277815749616	0.236088805564108	18
GSE130970	ENSG00000075624	ACTB	F1	1	14.2115470028859	0.264780222339547	28
GSE130970	ENSG00000075624	ACTB	F2	2	14.1248357775366	0.258242931129862	9
GSE130970	ENSG00000075624	ACTB	F3	3	14.4168969772932	0.430189606541365	14
GSE130970	ENSG00000075624	ACTB	F4	4	14.6337839849798	0.220606787218106	2
GSE130970	ENSG00000138071	ACTR2	F0	0	10.9952264209867	0.152854770946426	18
GSE130970	ENSG00000138071	ACTR2	F1	1	11.1112287156459	0.162374080798549	28
GSE130970	ENSG00000138071	ACTR2	F2	2	11.1095527245352	0.109987053558309	9
GSE130970	ENSG00000138071	ACTR2	F3	3	11.3733061539818	0.313387455483416	14
GSE130970	ENSG00000138071	ACTR2	F4	4	11.478888688364	0.0659180345465431	2
GSE130970	ENSG00000130203	APOE	F0	0	15.2091713587497	0.34120616127625	18
GSE130970	ENSG00000130203	APOE	F1	1	15.3448598823015	0.177002618893	28
GSE130970	ENSG00000130203	APOE	F2	2	15.1799718493082	0.252074032662039	9
GSE130970	ENSG00000130203	APOE	F3	3	15.2007633962341	0.520730814296825	14
GSE130970	ENSG00000130203	APOE	F4	4	15.2004087145332	0.0152551939991275	2
GSE130970	ENSG00000175334	BANF1	F0	0	8.25410927204329	0.255087308762122	18
GSE130970	ENSG00000175334	BANF1	F1	1	8.15832663051158	0.25025748649262	28
GSE130970	ENSG00000175334	BANF1	F2	2	8.14992668890154	0.108443933511974	9
GSE130970	ENSG00000175334	BANF1	F3	3	8.49608881403851	0.545819247328274	14
